Country,eiu_regime_2025,eiu_2025,eiu_2024,eiu_2006,whr2025_life_eval,whr2025_rank,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Norway,Full democracy,9.81,9.81,9.55,7.262,7,1.902,1.711,0.863,0.962,0.168,0.425,1.231
New Zealand,Full democracy,9.62,9.61,9.01,6.952,12,1.698,1.712,0.815,0.861,0.167,0.429,1.27
Denmark,Full democracy,9.42,9.28,9.52,7.521,2,1.825,1.748,0.82,0.955,0.15,0.488,1.535
Iceland,Full democracy,9.38,9.38,9.71,7.515,3,1.799,1.84,0.873,0.971,0.201,0.173,1.659
Finland,Full democracy,9.37,9.3,9.25,7.736,1,1.749,1.783,0.824,0.986,0.11,0.502,1.782
Sweden,Full democracy,9.35,9.39,9.88,7.345,4,1.783,1.698,0.889,0.952,0.17,0.467,1.385
Ireland,Full democracy,9.33,9.19,9.01,6.889,15,1.988,1.659,0.823,0.906,0.179,0.382,0.952
Switzerland,Full democracy,9.32,9.32,9.02,6.935,13,1.87,1.622,0.883,0.889,0.156,0.468,1.047
Canada,Full democracy,9.08,8.69,9.07,6.803,18,1.749,1.647,0.832,0.813,0.168,0.323,1.271
Luxembourg,Full democracy,9.08,8.88,9.1,7.122,9,2.028,1.558,0.864,0.931,0.117,0.397,1.227
Netherlands,Full democracy,8.93,9.0,9.66,7.306,5,1.822,1.667,0.844,0.86,0.186,0.344,1.583
Uruguay,Full democracy,8.92,8.67,7.96,6.661,28,1.554,1.654,0.523,0.913,0.078,0.197,1.741
Japan,Full democracy,8.85,8.48,8.15,6.147,55,1.678,1.55,0.921,0.746,0.014,0.2,1.038
Australia,Full democracy,8.85,8.85,9.09,6.974,11,1.767,1.647,0.841,0.857,0.164,0.285,1.413
Taiwan,Full democracy,8.78,8.78,7.82,6.669,27,1.73,1.583,0.817,0.76,0.057,0.187,1.534
Germany,Full democracy,8.73,8.73,8.82,6.753,22,1.785,1.625,0.776,0.858,0.148,0.351,1.21
Austria,Full democracy,8.42,8.28,8.69,6.81,17,1.791,1.592,0.814,0.856,0.179,0.28,1.297
United Kingdom,Full democracy,8.34,8.34,8.08,6.728,23,1.725,1.562,0.779,0.872,0.211,0.318,1.26
Costa Rica,Full democracy,8.29,8.29,8.04,7.274,6,1.492,1.6,0.68,0.948,0.067,0.118,2.369
Portugal,Full democracy,8.28,8.08,8.16,6.013,60,1.646,1.56,0.822,0.879,0.04,0.034,1.032
Mauritius,Full democracy,8.23,8.23,8.04,5.832,78,1.499,1.521,0.617,0.761,0.095,0.13,1.209
Spain,Full democracy,8.2,8.13,8.34,6.466,38,1.69,1.685,0.894,0.734,0.112,0.18,1.17
Czechia,Full democracy,8.15,8.08,8.17,6.775,20,1.692,1.716,0.658,0.916,0.118,0.084,1.591
Estonia,Full democracy,8.07,8.13,7.74,6.417,39,1.65,1.716,0.642,0.902,0.128,0.378,1.001
Greece,Full democracy,8.07,8.07,8.13,5.776,81,1.608,1.438,0.725,0.396,0.003,0.063,1.543
France,Full democracy,8.05,7.99,8.07,6.593,33,1.733,1.535,0.832,0.743,0.099,0.264,1.386
Chile,Flawed democracy,7.97,7.83,7.89,6.361,45,1.537,1.577,0.711,0.779,0.093,0.085,1.579
Malta,Flawed democracy,7.93,7.93,8.39,6.316,48,1.76,1.671,0.837,0.837,0.217,0.115,0.879
Slovenia,Flawed democracy,7.82,7.82,7.96,6.792,19,1.692,1.718,0.802,0.961,0.121,0.113,1.384
Israel,Flawed democracy,7.8,7.8,7.28,7.234,8,1.695,1.743,0.824,0.74,0.144,0.193,1.895
Belgium,Flawed democracy,7.77,7.64,8.15,6.91,14,1.783,1.646,0.852,0.895,0.119,0.306,1.309
South Korea,Flawed democracy,7.75,7.75,7.88,6.038,58,1.709,1.357,0.903,0.678,0.1,0.139,1.152
Latvia,Flawed democracy,7.73,7.66,7.37,6.207,51,1.619,1.711,0.503,0.789,0.108,0.082,1.396
Poland,Flawed democracy,7.65,7.4,7.3,6.673,26,1.666,1.595,0.63,0.79,0.021,0.169,1.802
United States,Flawed democracy,7.65,7.85,8.22,6.724,24,1.839,1.614,0.604,0.644,0.171,0.161,1.69
Botswana,Flawed democracy,7.63,7.63,7.6,3.438,142,1.388,1.146,0.094,0.697,0.018,0.083,0.012
Italy,Flawed democracy,7.58,7.58,7.73,6.415,40,1.724,1.526,0.852,0.641,0.082,0.071,1.517
Lithuania,Flawed democracy,7.55,7.59,7.43,6.829,16,1.684,1.699,0.592,0.702,0.031,0.123,1.998
Cyprus,Flawed democracy,7.45,7.38,7.6,5.942,67,1.72,1.348,0.84,0.612,0.108,0.041,1.273
South Africa,Flawed democracy,7.16,7.16,7.91,5.213,95,1.283,1.465,0.142,0.676,0.064,0.043,1.54
Malaysia,Flawed democracy,7.11,7.11,5.98,5.955,64,1.571,1.315,0.446,0.991,0.181,0.11,1.341
Trinidad and Tobago,Flawed democracy,7.09,7.09,7.18,5.905,70,1.549,1.532,0.419,0.76,0.111,0.001,1.533
Panama,Flawed democracy,7.04,6.84,7.35,6.407,41,1.594,1.6,0.717,0.876,0.041,0.042,1.537
India,Flawed democracy,6.96,7.29,7.68,4.389,118,1.149,0.86,0.316,0.914,0.141,0.12,0.889
Slovakia,Flawed democracy,6.94,7.21,7.4,6.221,50,1.629,1.762,0.547,0.704,0.058,0.07,1.451
Argentina,Flawed democracy,6.89,6.51,6.63,6.397,42,1.504,1.622,0.579,0.824,0.048,0.083,1.736
Brazil,Flawed democracy,6.76,6.49,7.38,6.494,36,1.391,1.519,0.48,0.83,0.089,0.127,2.057
Dominican Republic,Flawed democracy,6.75,6.62,6.13,5.846,76,1.457,1.5,0.615,0.866,0.063,0.186,1.16
Jamaica,Flawed democracy,6.74,6.74,7.34,5.87,73,1.182,1.545,0.504,0.869,0.075,0.019,1.676
Montenegro,Flawed democracy,6.73,6.73,6.57,5.877,71,1.507,1.551,0.618,0.768,0.075,0.138,1.22
Thailand,Flawed democracy,6.59,6.27,5.67,6.222,49,1.426,1.551,0.633,0.927,0.223,0.039,1.423
