iso3,row_regime,polyarchy,cantril_ladder,log_gdp_pc,regime_year,poly_year,ladder_year,gdp_year
AFG,0.0,0.069,1.446,7.5829687577161975,2025,2025,2025,2024
ALB,1.0,0.484,5.662,10.031189807450607,2025,2025,2025,2025
ARE,0.0,0.104,6.821,11.151981277910961,2025,2025,2025,2024
ARG,2.0,0.69,6.43,10.23446608349541,2025,2025,2025,2025
ARM,2.0,0.614,5.584,9.959559662672913,2025,2025,2025,2025
AUS,3.0,0.844,6.916,11.005328988558123,2025,2025,2025,2025
AUT,3.0,0.839,6.845,11.066175786620155,2025,2025,2025,2025
AZE,1.0,0.171,4.993,10.012979287942265,2025,2025,2025,2025
BEL,3.0,0.889,6.926,11.05861280604605,2025,2025,2025,2025
BEN,1.0,0.493,4.393,8.322689403652005,2025,2025,2025,2025
BFA,0.0,0.134,4.455,7.872770877655802,2025,2025,2025,2025
BGD,0.0,0.195,4.319,9.068403005080024,2025,2025,2025,2025
BGR,2.0,0.599,5.703,10.472361210978747,2025,2025,2025,2025
BHR,0.0,0.139,6.254,11.013198522351734,2025,2025,2025,2025
BIH,1.0,0.498,6.381,9.960728904603274,2025,2025,2025,2025
BOL,2.0,0.605,5.835,9.305699096056761,2025,2025,2025,2025
BRA,2.0,0.784,6.634,9.904721640735941,2025,2025,2025,2025
BWA,2.0,0.665,3.464,9.780596775801277,2025,2025,2025,2025
CAN,2.0,0.84,6.741,10.968018618216218,2025,2025,2025,2025
CHE,3.0,0.882,7.018,11.358982713524366,2025,2025,2025,2025
CHL,3.0,0.839,6.302,10.337327007650297,2025,2025,2025,2025
CHN,0.0,0.072,6.074,10.129288410082724,2025,2025,2025,2025
CIV,1.0,0.394,5.148,8.855783996571201,2025,2025,2025,2025
CMR,1.0,0.26,5.083,8.506325653056837,2025,2025,2025,2025
COD,1.0,0.306,3.761,7.40279670513772,2025,2025,2025,2025
COG,1.0,0.243,4.456,8.731350890618092,2025,2025,2025,2025
COL,2.0,0.679,6.04,9.840475758690445,2025,2025,2025,2025
COM,1.0,0.293,3.925,8.194717141609203,2025,2025,2025,2025
CRI,3.0,0.862,7.439,10.255671848591733,2025,2025,2025,2025
CYP,3.0,0.773,6.126,10.898649721799123,2025,2025,2025,2025
CZE,3.0,0.849,6.821,10.805527015769783,2025,2025,2025,2025
DEU,3.0,0.828,6.882,11.048088831779369,2025,2025,2025,2025
DNK,3.0,0.913,7.539,11.194416694837075,2025,2025,2025,2025
DOM,2.0,0.735,6.093,10.108195894811526,2025,2025,2025,2025
DZA,1.0,0.265,5.714,9.672986626999231,2025,2025,2025,2025
ECU,2.0,0.607,6.144,9.569359366480537,2025,2025,2025,2025
EGY,1.0,0.187,3.862,9.756445182043361,2025,2025,2025,2025
ESP,3.0,0.822,6.54,10.80604653399348,2025,2025,2025,2025
EST,3.0,0.887,6.41,10.63595938315542,2025,2025,2025,2025
ETH,1.0,0.257,3.985,8.03750059939772,2025,2025,2025,2025
FIN,3.0,0.852,7.764,10.928367542066315,2025,2025,2025,2025
FRA,3.0,0.865,6.586,10.917350268043128,2025,2025,2025,2025
GAB,1.0,0.302,5.167,9.851482162563425,2025,2025,2025,2025
GBR,2.0,0.772,6.694,10.896611854459355,2025,2025,2025,2025
GEO,1.0,0.401,5.517,10.132047727421854,2025,2025,2025,2025
GHA,2.0,0.711,4.554,8.903520806977054,2025,2025,2025,2025
GIN,0.0,0.187,4.609,8.346846054238858,2025,2025,2025,2025
GMB,2.0,0.641,4.306,8.06042046250211,2025,2025,2025,2025
GRC,2.0,0.741,5.697,10.551080805409807,2025,2025,2025,2025
GTM,2.0,0.637,6.533,9.471667483401736,2025,2025,2025,2025
HKG,0.0,0.151,5.569,11.137861837930634,2025,2025,2025,2025
HND,2.0,0.511,6.096,8.813760721013686,2025,2025,2025,2025
HRV,2.0,0.686,6.009,10.695847356633902,2025,2025,2025,2025
HUN,1.0,0.421,5.937,10.625237738903873,2025,2025,2025,2025
IDN,1.0,0.462,5.617,9.621854415000323,2025,2025,2025,2025
IND,1.0,0.377,4.536,9.214239859084088,2025,2025,2025,2025
IRL,3.0,0.887,6.928,11.785532782104758,2025,2025,2025,2025
IRN,1.0,0.159,5.151,9.731142920301131,2025,2025,2025,2025
IRQ,1.0,0.369,5.212,9.408498941964448,2025,2025,2025,2025
ISL,3.0,0.807,7.54,11.12821385546621,2025,2025,2025,2025
ISR,2.0,0.694,7.187,10.783044442826949,2025,2025,2025,2025
ITA,3.0,0.745,6.574,10.889417773461696,2025,2025,2025,2025
JAM,2.0,0.805,6.305,9.337670224741778,2025,2025,2025,2025
JOR,0.0,0.282,4.478,9.286767937506168,2025,2025,2025,2025
JPN,3.0,0.819,6.13,10.784842473935381,2025,2025,2025,2025
KAZ,1.0,0.259,6.633,10.54140158239416,2025,2025,2025,2025
KEN,2.0,0.563,4.674,8.69874812109337,2025,2025,2025,2025
KGZ,1.0,0.313,6.049,8.9718863360677,2025,2025,2025,2025
KHM,1.0,0.183,4.462,8.89564066817142,2025,2025,2025,2025
KOR,3.0,0.819,6.04,10.927683108568392,2025,2025,2025,2025
KWT,0.0,0.138,6.543,10.78423327955666,2025,2025,2025,2025
LAO,0.0,0.135,5.515,9.090733749595781,2025,2025,2025,2025
LBN,1.0,0.419,3.723,9.256194898040187,2025,2025,2025,2024
LBR,2.0,0.597,4.28,7.434213612716911,2025,2025,2025,2025
LBY,0.0,0.193,5.731,9.55522044915085,2025,2025,2025,2025
LKA,2.0,0.783,4.013,9.587595356633232,2025,2025,2025,2025
LSO,2.0,0.661,4.375,7.908739045900099,2025,2025,2025,2025
LTU,3.0,0.786,6.704,10.796295571096506,2025,2025,2025,2025
LUX,3.0,0.869,7.063,11.75524870449631,2025,2025,2025,2025
LVA,3.0,0.834,6.365,10.5661895203588,2025,2025,2025,2025
MAR,0.0,0.259,4.646,9.158563276365165,2025,2025,2025,2025
MDA,2.0,0.553,5.851,9.74608422190428,2025,2025,2025,2025
MDG,0.0,0.361,4.174,7.419666513259737,2025,2025,2025,2025
MEX,1.0,0.469,6.972,9.994786516341243,2025,2025,2025,2025
MKD,2.0,0.562,5.719,10.130408879063259,2025,2025,2025,2025
MLI,0.0,0.164,4.588,8.004115600541333,2025,2025,2025,2025
MLT,2.0,0.783,6.436,11.061241261660362,2025,2025,2025,2025
MMR,0.0,0.08,4.287,8.54424411368996,2025,2025,2025,2025
MNE,2.0,0.636,6.139,10.271434784840201,2025,2025,2025,2025
MNG,2.0,0.535,5.936,9.785409567136345,2025,2025,2025,2025
MOZ,1.0,0.279,5.336,7.279980409629579,2025,2025,2025,2025
MRT,1.0,0.328,4.473,8.788600063380295,2025,2025,2025,2025
MUS,2.0,0.738,5.939,10.267071563806457,2025,2025,2025,2025
MWI,2.0,0.557,3.284,7.392044937727119,2025,2025,2025,2025
MYS,2.0,0.504,6.005,10.476201328938938,2025,2025,2025,2025
NAM,2.0,0.633,4.781,9.234279920597242,2025,2025,2025,2025
NER,0.0,0.227,4.94,7.528626669455716,2025,2025,2025,2025
NGA,2.0,0.505,4.788,9.005177691527907,2025,2025,2025,2025
NIC,1.0,0.151,6.301,8.978848192647689,2025,2025,2025,2025
NLD,3.0,0.832,7.223,11.175751758376471,2025,2025,2025,2025
NOR,3.0,0.89,7.242,11.463456085186086,2025,2025,2025,2025
NPL,2.0,0.656,5.147,8.571098631179538,2025,2025,2025,2025
NZL,3.0,0.849,6.995,10.78379174686831,2025,2025,2025,2025
OMN,0.0,0.175,6.197,10.495237049481428,2025,2025,2025,2025
PAK,1.0,0.302,4.868,8.633597677309378,2025,2025,2025,2025
PAN,2.0,0.728,6.547,10.532527585570193,2025,2025,2025,2025
PER,2.0,0.667,5.974,9.685277125829499,2025,2025,2025,2025
PHL,1.0,0.392,6.206,9.282432728426409,2025,2025,2025,2025
POL,2.0,0.768,6.768,10.75629712406971,2025,2025,2025,2025
PRT,2.0,0.822,6.029,10.659065064813134,2025,2025,2025,2025
PRY,2.0,0.581,6.198,9.755326581865535,2025,2025,2025,2025
ROU,2.0,0.605,6.629,10.617563784561803,2025,2025,2025,2025
RUS,1.0,0.17,5.834,10.653912348164607,2025,2025,2025,2025
SAU,0.0,0.016,6.817,11.051699947123549,2025,2025,2025,2025
SEN,2.0,0.633,4.787,8.448601989249363,2025,2025,2025,2025
SGP,1.0,0.434,6.585,11.846483530946449,2025,2025,2025,2025
SLE,1.0,0.471,3.251,8.063452378781582,2025,2025,2025,2025
SLV,1.0,0.321,6.578,9.396822262567554,2025,2025,2025,2025
SOM,0.0,0.165,4.508,7.246947954708182,2025,2025,2025,2025
SRB,1.0,0.3,6.691,10.22569397893199,2025,2025,2025,2025
SVK,2.0,0.733,6.255,10.613733118989934,2025,2025,2025,2025
SVN,2.0,0.692,6.868,10.801431404998795,2025,2025,2025,2025
SWE,3.0,0.889,7.255,11.056626851492183,2025,2025,2025,2025
SWZ,0.0,0.128,3.909,9.278632184445344,2025,2025,2025,2025
TCD,1.0,0.242,4.385,7.816219261606779,2025,2025,2025,2025
TGO,1.0,0.351,4.277,8.156505062555448,2025,2025,2025,2025
THA,1.0,0.424,6.296,10.018232734138396,2025,2025,2025,2025
TJK,1.0,0.158,5.591,8.52948671544085,2025,2025,2025,2025
TTO,3.0,0.786,5.905,10.364752359256027,2025,2025,2025,2025
TUN,1.0,0.395,4.798,9.474060178819295,2025,2025,2025,2025
TUR,1.0,0.293,5.3,10.526768712668366,2025,2025,2025,2025
TZA,1.0,0.365,3.902,8.248165845844909,2025,2025,2025,2025
UGA,1.0,0.253,4.491,7.999805886831769,2025,2025,2025,2025
UKR,1.0,0.386,4.658,9.689989396973242,2025,2025,2025,2025
URY,3.0,0.862,6.635,10.396402483169297,2025,2025,2025,2025
USA,2.0,0.735,6.816,11.250668224775435,2025,2025,2025,2025
UZB,1.0,0.218,6.283,9.36072869730133,2025,2025,2025,2025
VNM,0.0,0.146,6.428,9.645839897358469,2025,2025,2025,2025
ZAF,2.0,0.743,5.009,9.51724026840707,2025,2025,2025,2025
ZMB,1.0,0.497,4.106,8.227443997273118,2025,2025,2025,2025
ZWE,1.0,0.268,3.346,8.617804386886071,2025,2025,2025,2025
